no, nama tempat, latitude, longitude
1, Klinik An-Nisa, -8.031284318749922, 112.76761175592283
2, Kantor MWC NU, -8.036983110863018, 112.7687656843643 
3,  Apotek Belung Sehat, -8.036586402124128, 112.76836603525334
